record_id,user_id,activity_timestamp,weight,height,country_of_residence,dish_name,meal_type,ingredient_list,substitutions_list,substitutions_made,carbon_footprint_original,portion_size,hunger_rating,meal_rating,geo_location
rec_01812,Travel Terry,2023-03-05 14:09:29,79.3,180.8,Japan,Vegan Quesadilla,Lunch,"['onion', 'cheese', 'pasta', 'tofu', 'spinach', 'tomato']","[None, 'vegan cheese', None, None, None, None]",1,"[2.17, 4.19, 2.4, 3.77, 0.36, 4.76]","[275, 147, 121, 242, 293, 262]",4,4,"(35.7064, 139.7016)"
rec_01460,Diet Dani,2023-03-05 18:23:58,78.4,169.3,Italy,Zucchini Noodles,Dinner,"['salt', 'pork', 'yogurt', 'fish']","[None, 'jackfruit', 'coconut yogurt', 'tempeh']",0,"[4.19, 0.9, 1.84, 3.38]","[147, 121, 166, 212]",3,3,"(41.8933, 12.5011)"
rec_01262,Diet Dani,2023-03-05 18:59:47,78.3,170.6,Italy,Smoothie Bowl,Dinner,"['salt', 'spinach', 'cheese']","[None, None, 'vegan cheese']",0,"[0.89, 4.77, 4.62]","[89, 145, 245]",3,4,"(41.8931, 12.4829)"
rec_00930,Budget Billie,2023-03-05 19:05:49,58.5,165.2,India,Stir-fried Rice,Dinner,"['broccoli', 'chicken', 'fish', 'pepper', 'onion']","[None, 'tofu', 'tempeh', None, None]",0,"[0.12, 3.64, 3.63, 4.86, 3.83]","[78, 125, 161, 90, 166]",5,3,"(12.9737, 77.6008)"
rec_01211,Diet Dani,2023-03-06 09:20:48,81.7,169.4,Italy,Grilled Chicken Salad,Breakfast,"['beef', 'chicken', 'pork', 'cheese', 'yogurt', 'pepper']","['seitan', 'tofu', 'jackfruit', 'vegan cheese', 'coconut yogurt', None]",1,"[3.54, 2.16, 2.3, 1.46, 4.36, 3.82]","[204, 56, 193, 100, 233, 216]",3,3,"(41.8909, 12.5011)"
rec_00613,Fit Felix,2023-03-06 19:11:26,72.0,175.2,Netherlands,Quinoa Salad,Dinner,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",1,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",3,4,"(52.3512, 4.9233)"
rec_01358,Diet Dani,2023-03-06 20:43:34,81.7,168.3,Italy,Smoothie Bowl,Dinner,"['salt', 'spinach', 'cheese']","[None, None, 'vegan cheese']",1,"[0.89, 4.77, 4.62]","[89, 145, 245]",3,4,"(41.901, 12.48)"
rec_00865,Vegan Vera,2023-03-07 09:28:25,57.6,166.2,Sweden,Vegan Buddha Bowl,Breakfast,"['rice', 'onion', 'pepper', 'milk']","[None, None, None, 'almond milk']",1,"[0.6, 1.96, 1.86, 1.79]","[105, 295, 245, 136]",3,5,"(59.3486, 18.0814)"
rec_00935,Budget Billie,2023-03-07 13:29:12,59.2,164.3,India,Stir-fried Rice,Lunch,"['broccoli', 'chicken', 'fish', 'pepper', 'onion']","[None, 'tofu', 'tempeh', None, None]",1,"[0.12, 3.64, 3.63, 4.86, 3.83]","[78, 125, 161, 90, 166]",5,3,"(12.9667, 77.5918)"
rec_00599,Fit Felix,2023-03-07 14:37:16,71.6,176.7,Netherlands,Quinoa Salad,Lunch,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",1,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",3,3,"(52.3871, 4.8885)"
rec_01714,Travel Terry,2023-03-08 08:20:55,78.3,180.0,Japan,Simple Pasta,Breakfast,"['beef', 'pasta', 'broccoli', 'fish', 'tomato']","['seitan', None, None, 'tempeh', None]",0,"[3.13, 4.32, 2.93, 3.55, 0.32]","[70, 191, 125, 262, 210]",4,3,"(40.6972, -74.0193)"
rec_00636,Fit Felix,2023-03-08 14:21:37,70.5,178.3,Netherlands,Quinoa Salad,Lunch,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",1,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",4,4,"(52.3503, 4.9157)"
rec_00700,Vegan Vera,2023-03-08 18:55:33,57.0,169.2,Sweden,Quinoa Salad,Dinner,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",0,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",2,3,"(59.324, 18.0733)"
rec_00055,Hardcore Henrietta,2023-03-09 14:53:44,83.2,171.1,Germany,Beef Stir-Fry,Lunch,"['quinoa', 'tomato', 'pasta', 'milk']","[None, None, None, 'almond milk']",1,"[2.85, 1.39, 2.96, 4.5]","[117, 85, 113, 240]",4,5,"(52.5124, 13.3986)"
rec_00448,Fit Felix,2023-03-09 19:05:08,73.3,176.5,Netherlands,Quinoa Salad,Dinner,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",0,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",3,4,"(52.3529, 4.8953)"
rec_00531,Fit Felix,2023-03-09 20:21:24,74.2,176.7,Netherlands,Quinoa Salad,Dinner,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",1,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",3,4,"(52.3617, 4.9105)"
rec_01475,Diet Dani,2023-03-10 07:11:17,78.5,169.3,Italy,Grilled Chicken Salad,Breakfast,"['beef', 'chicken', 'pork', 'cheese', 'yogurt', 'pepper']","['seitan', 'tofu', 'jackfruit', 'vegan cheese', 'coconut yogurt', None]",0,"[3.54, 2.16, 2.3, 1.46, 4.36, 3.82]","[204, 56, 193, 100, 233, 216]",3,4,"(41.9217, 12.4965)"
rec_00673,Vegan Vera,2023-03-10 07:21:52,59.5,166.0,Sweden,Vegan Buddha Bowl,Breakfast,"['rice', 'onion', 'pepper', 'milk']","[None, None, None, 'almond milk']",0,"[0.6, 1.96, 1.86, 1.79]","[105, 295, 245, 136]",3,4,"(59.3446, 18.0805)"
rec_01631,Travel Terry,2023-03-10 13:36:46,77.7,178.6,Japan,Vegan Korma,Lunch,"['yogurt', 'chicken', 'cheese', 'tomato']","['coconut yogurt', 'tofu', 'vegan cheese', None]",0,"[4.84, 1.47, 3.24, 2.06]","[134, 121, 271, 67]",4,4,"(35.7065, 139.7099)"
rec_01070,Budget Billie,2023-03-10 13:54:57,59.3,164.2,India,Ramen with Veggies,Lunch,"['garlic', 'yogurt', 'milk', 'spinach', 'quinoa', 'beef']","[None, 'coconut yogurt', 'almond milk', None, None, 'seitan']",0,"[0.88, 3.43, 3.02, 1.99, 3.02, 2.39]","[243, 62, 270, 78, 89, 210]",4,3,"(12.9905, 77.5845)"
rec_01708,Travel Terry,2023-03-10 20:47:35,75.7,179.1,Japan,Vegan Quesadilla,Dinner,"['onion', 'cheese', 'pasta', 'tofu', 'spinach', 'tomato']","[None, 'vegan cheese', None, None, None, None]",1,"[2.17, 4.19, 2.4, 3.77, 0.36, 4.76]","[275, 147, 121, 242, 293, 262]",4,2,"(-33.8725, 151.1966)"
rec_00997,Budget Billie,2023-03-11 07:08:39,59.7,164.7,India,Stir-fried Rice,Breakfast,"['broccoli', 'chicken', 'fish', 'pepper', 'onion']","[None, 'tofu', 'tempeh', None, None]",0,"[0.12, 3.64, 3.63, 4.86, 3.83]","[78, 125, 161, 90, 166]",5,3,"(12.9809, 77.6124)"
rec_00594,Fit Felix,2023-03-11 07:49:00,74.3,179.0,Netherlands,Quinoa Salad,Breakfast,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",0,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",3,4,"(52.3611, 4.9002)"
rec_00881,Vegan Vera,2023-03-11 08:26:16,57.4,169.6,Sweden,Vegan Buddha Bowl,Breakfast,"['rice', 'onion', 'pepper', 'milk']","[None, None, None, 'almond milk']",0,"[0.6, 1.96, 1.86, 1.79]","[105, 295, 245, 136]",3,4,"(59.3175, 18.0813)"
rec_01617,Travel Terry,2023-03-11 08:45:58,78.8,181.3,Japan,Vegan Burrito Bowl,Breakfast,"['mushroom', 'tomato', 'quinoa']","[None, None, None]",0,"[1.56, 2.01, 4.47]","[51, 291, 140]",4,4,"(35.6722, 139.7106)"
rec_01494,Diet Dani,2023-03-11 12:56:36,78.5,170.6,Italy,Smoothie Bowl,Lunch,"['salt', 'spinach', 'cheese']","[None, None, 'vegan cheese']",1,"[0.89, 4.77, 4.62]","[89, 145, 245]",3,5,"(41.9198, 12.5049)"
rec_01184,Diet Dani,2023-03-12 09:30:55,80.0,168.1,Italy,Grilled Chicken Salad,Breakfast,"['beef', 'chicken', 'pork', 'cheese', 'yogurt', 'pepper']","['seitan', 'tofu', 'jackfruit', 'vegan cheese', 'coconut yogurt', None]",0,"[3.54, 2.16, 2.3, 1.46, 4.36, 3.82]","[204, 56, 193, 100, 233, 216]",3,3,"(41.8997, 12.4999)"
rec_00966,Budget Billie,2023-03-12 12:33:42,61.1,164.0,India,Simple Pasta,Lunch,"['beef', 'pasta', 'broccoli', 'fish', 'tomato']","['seitan', None, None, 'tempeh', None]",0,"[3.13, 4.32, 2.93, 3.55, 0.32]","[70, 191, 125, 262, 210]",3,3,"(12.9645, 77.5972)"
rec_01170,Diet Dani,2023-03-12 19:11:00,81.7,171.0,Italy,Zucchini Noodles,Dinner,"['salt', 'pork', 'yogurt', 'fish']","[None, 'jackfruit', 'coconut yogurt', 'tempeh']",1,"[4.19, 0.9, 1.84, 3.38]","[147, 121, 166, 212]",3,3,"(41.9183, 12.5042)"
rec_01663,Travel Terry,2023-03-12 20:48:13,75.8,181.5,Japan,Local Curry,Dinner,"['tofu', 'egg', 'broccoli']","[None, 'flax egg', None]",1,"[2.37, 1.42, 4.63]","[236, 112, 91]",4,4,"(35.7063, 139.6838)"
rec_01737,Travel Terry,2023-03-13 08:38:11,78.3,181.6,Japan,Flax Egg Omelette,Breakfast,"['pasta', 'broccoli', 'fish']","[None, None, 'tempeh']",1,"[4.2, 4.85, 4.64]","[62, 216, 188]",4,4,"(35.6746, 139.6814)"
rec_00812,Vegan Vera,2023-03-13 18:09:50,58.4,165.0,Sweden,Vegan Buddha Bowl,Dinner,"['rice', 'onion', 'pepper', 'milk']","[None, None, None, 'almond milk']",0,"[0.6, 1.96, 1.86, 1.79]","[105, 295, 245, 136]",3,3,"(59.3333, 18.062)"
rec_00588,Fit Felix,2023-03-13 18:21:27,70.8,179.1,Netherlands,Quinoa Salad,Dinner,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",1,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",3,5,"(52.3671, 4.9238)"
rec_00134,Hardcore Henrietta,2023-03-13 20:26:39,76.9,173.8,Germany,Beef Stir-Fry,Dinner,"['quinoa', 'tomato', 'pasta', 'milk']","[None, None, None, 'almond milk']",0,"[2.85, 1.39, 2.96, 4.5]","[117, 85, 113, 240]",4,4,"(52.5082, 13.389)"
rec_00230,Hardcore Henrietta,2023-03-14 18:20:16,77.3,169.5,Germany,Beef Stir-Fry,Dinner,"['quinoa', 'tomato', 'pasta', 'milk']","[None, None, None, 'almond milk']",0,"[2.85, 1.39, 2.96, 4.5]","[117, 85, 113, 240]",4,4,"(52.515, 13.4143)"
rec_01045,Budget Billie,2023-03-14 18:58:26,61.1,164.3,India,Stir-fried Rice,Dinner,"['broccoli', 'chicken', 'fish', 'pepper', 'onion']","[None, 'tofu', 'tempeh', None, None]",1,"[0.12, 3.64, 3.63, 4.86, 3.83]","[78, 125, 161, 90, 166]",4,4,"(12.9726, 77.5809)"
rec_01169,Diet Dani,2023-03-15 07:19:09,79.1,170.6,Italy,Smoothie Bowl,Breakfast,"['salt', 'spinach', 'cheese']","[None, None, 'vegan cheese']",1,"[0.89, 4.77, 4.62]","[89, 145, 245]",4,3,"(41.9148, 12.4846)"
rec_01327,Diet Dani,2023-03-15 12:05:58,82.0,168.2,Italy,Grilled Chicken Salad,Lunch,"['beef', 'chicken', 'pork', 'cheese', 'yogurt', 'pepper']","['seitan', 'tofu', 'jackfruit', 'vegan cheese', 'coconut yogurt', None]",0,"[3.54, 2.16, 2.3, 1.46, 4.36, 3.82]","[204, 56, 193, 100, 233, 216]",3,3,"(41.9213, 12.5161)"
rec_01791,Travel Terry,2023-03-15 12:11:57,75.2,179.0,Japan,Vegan Pancakes,Lunch,"['pepper', 'salt', 'cheese', 'onion']","[None, None, 'vegan cheese', None]",1,"[1.39, 2.49, 4.54, 4.25]","[102, 225, 212, 268]",4,4,"(35.7078, 139.6815)"
rec_01519,Travel Terry,2023-03-15 19:02:09,76.1,181.1,Japan,Almond Milk Porridge,Dinner,"['yogurt', 'cheese', 'mushroom']","['coconut yogurt', 'vegan cheese', None]",1,"[2.17, 1.46, 1.32]","[187, 164, 85]",3,3,"(35.6768, 139.6904)"
rec_00977,Budget Billie,2023-03-15 19:11:10,59.1,164.5,India,Simple Pasta,Dinner,"['beef', 'pasta', 'broccoli', 'fish', 'tomato']","['seitan', None, None, 'tempeh', None]",0,"[3.13, 4.32, 2.93, 3.55, 0.32]","[70, 191, 125, 262, 210]",4,3,"(12.9838, 77.5885)"
rec_01219,Diet Dani,2023-03-16 08:23:03,80.1,170.1,Italy,Smoothie Bowl,Breakfast,"['salt', 'spinach', 'cheese']","[None, None, 'vegan cheese']",0,"[0.89, 4.77, 4.62]","[89, 145, 245]",4,4,"(41.8865, 12.5042)"
rec_00595,Fit Felix,2023-03-16 09:09:57,73.9,177.2,Netherlands,Quinoa Salad,Breakfast,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",0,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",4,4,"(52.3796, 4.9191)"
rec_00466,Fit Felix,2023-03-16 18:21:50,74.2,177.2,Netherlands,Quinoa Salad,Dinner,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",0,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",3,4,"(52.3738, 4.905)"
rec_00653,Vegan Vera,2023-03-17 07:21:12,59.6,165.5,Sweden,Quinoa Salad,Breakfast,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",0,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",3,5,"(59.34, 18.0824)"
rec_00079,Hardcore Henrietta,2023-03-17 08:44:53,82.1,168.4,Germany,Beef Stir-Fry,Breakfast,"['quinoa', 'tomato', 'pasta', 'milk']","[None, None, None, 'almond milk']",1,"[2.85, 1.39, 2.96, 4.5]","[117, 85, 113, 240]",4,4,"(52.5002, 13.3882)"
